orderid,date,status,qty,amount,currency,b2b
405-8078784-5731545,2022-04-30,Cancelled,0,647.62,INR,False
171-9198151-1101146,2022-04-30,Shipped - Delivered to Buyer,1,406.0,INR,False
404-0687676-7273146,2022-04-30,Shipped,1,329.0,INR,True
403-9615377-8133951,2022-04-30,Cancelled,0,753.33,INR,False
407-1069790-7240320,2022-04-30,Shipped,1,574.0,INR,False
404-1490984-4578765,2022-04-30,Shipped,1,824.0,INR,False
408-5748499-6859555,2022-04-30,Shipped,1,653.0,INR,False
406-7807733-3785945,2022-04-30,Shipped - Delivered to Buyer,1,399.0,INR,False
407-5443024-5233168,2022-04-30,Cancelled,0,568.57,INR,False
402-4393761-0311520,2022-04-30,Shipped,1,363.0,INR,False
407-5633625-6970741,2022-04-30,Shipped,1,685.0,INR,False
171-4638481-6326716,2022-04-30,Shipped,1,364.0,INR,False
405-5513694-8146768,2022-04-30,Shipped - Delivered to Buyer,1,399.0,INR,False
408-7955685-3083534,2022-04-30,Shipped,1,657.0,INR,False
408-1298370-1920302,2022-04-30,Shipped - Delivered to Buyer,1,771.0,INR,False
403-4965581-9520319,2022-04-30,Shipped - Delivered to Buyer,1,544.0,INR,False
406-9379318-6555504,2022-04-30,Shipped,1,329.0,INR,False
405-9013803-8009918,2022-04-30,Shipped,1,399.0,INR,False
402-4030358-5835511,2022-04-30,Shipped - Delivered to Buyer,1,458.0,INR,False
405-5957858-1051546,2022-04-30,Shipped,1,886.0,INR,False
405-0607769-0716360,2022-04-30,Shipped,1,517.0,INR,False
404-8494550-5860325,2022-04-30,Shipped,1,666.0,INR,False
171-1305077-2813934,2022-04-30,Shipped,1,376.0,INR,False
404-6019946-2909948,2022-04-30,Cancelled,0,570.48,INR,False
402-3384087-4005164,2022-04-30,Shipped,1,499.0,INR,False
405-8191138-5176316,2022-04-30,Shipped - Delivered to Buyer,1,582.0,INR,False
403-9230474-9657916,2022-04-30,Shipped - Delivered to Buyer,1,299.0,INR,False
408-3484251-6901959,2022-04-30,Shipped,1,459.0,INR,False
405-7755803-4729935,2022-04-30,Shipped,1,399.0,INR,False
404-5933402-8801952,2022-04-30,Cancelled,0,568.57,INR,False
171-9040274-9291563,2022-04-30,Shipped,1,791.0,INR,False
403-7056319-0979561,2022-04-30,Shipped,1,499.0,INR,False
