orderid,fulfillment,shipservicelevel
405-8078784-5731545,Merchant,Standard
171-9198151-1101146,Merchant,Standard
404-0687676-7273146,Amazon,Expedited
403-9615377-8133951,Merchant,Standard
407-1069790-7240320,Amazon,Expedited
404-1490984-4578765,Amazon,Expedited
408-5748499-6859555,Amazon,Expedited
406-7807733-3785945,Merchant,Standard
407-5443024-5233168,Amazon,Expedited
402-4393761-0311520,Amazon,Expedited
407-5633625-6970741,Amazon,Expedited
171-4638481-6326716,Amazon,Expedited
405-5513694-8146768,Merchant,Standard
408-7955685-3083534,Amazon,Expedited
408-1298370-1920302,Merchant,Standard
403-4965581-9520319,Merchant,Standard
406-9379318-6555504,Amazon,Expedited
405-9013803-8009918,Amazon,Expedited
402-4030358-5835511,Merchant,Standard
405-5957858-1051546,Amazon,Expedited
405-0607769-0716360,Amazon,Expedited
404-8494550-5860325,Amazon,Expedited
171-1305077-2813934,Amazon,Expedited
404-6019946-2909948,Merchant,Standard
402-3384087-4005164,Amazon,Expedited
405-8191138-5176316,Merchant,Standard
403-9230474-9657916,Merchant,Standard
408-3484251-6901959,Amazon,Expedited
405-7755803-4729935,Amazon,Expedited
404-5933402-8801952,Merchant,Standard
171-9040274-9291563,Amazon,Expedited
403-7056319-0979561,Amazon,Expedited
404-9632124-1107550,Merchant,Standard
402-1465437-0579556,Merchant,Standard
404-7774085-3780319,Amazon,Expedited
402-2764952-1492318,Merchant,Standard
406-0272200-7784379,Amazon,Expedited
403-4367956-2849158,Amazon,Expedited
403-4367956-2849158,Amazon,Expedited
403-4242957-8599555,Amazon,Expedited
408-7165704-5643524,Amazon,Expedited
402-8210765-3935569,Amazon,Expedited
406-7398201-3869914,Merchant,Standard
408-3478480-0881162,Amazon,Expedited
402-7595162-9129931,Amazon,Expedited
171-6876154-6233146,Amazon,Expedited
408-3917043-5314763,Amazon,Expedited
408-9281152-6213100,Amazon,Expedited
403-3496411-3082707,Amazon,Expedited
171-9208368-0157156,Merchant,Standard
408-2137113-0982751,Amazon,Expedited
402-3628566-9688333,Amazon,Expedited
408-7138000-9728362,Amazon,Expedited
402-1752649-2274748,Amazon,Expedited
402-7944191-1869101,Amazon,Expedited
407-4063876-9566742,Amazon,Expedited
403-0752752-4656334,Amazon,Expedited
406-8879861-2081117,Amazon,Expedited
406-8089333-7941903,Amazon,Expedited
171-3072652-6805159,Amazon,Expedited
171-2592464-6846743,Merchant,Standard
404-2262140-4696366,Amazon,Expedited
404-2262140-4696366,Amazon,Expedited
405-3594372-1614709,Amazon,Expedited
407-2974257-4781134,Amazon,Expedited
171-4137548-0481151,Amazon,Expedited
405-4461562-9113959,Amazon,Expedited
404-4535078-5241919,Amazon,Expedited
405-8387725-2971512,Amazon,Expedited
405-6480932-8759528,Amazon,Expedited
405-9966506-3155561,Merchant,Standard
408-7029737-8028367,Amazon,Expedited
407-2189901-7515567,Merchant,Standard
402-2105657-2899562,Amazon,Expedited
406-1326801-8886709,Merchant,Standard
408-7760667-5809130,Amazon,Expedited
405-8457623-9269955,Amazon,Expedited
408-6820155-3521913,Amazon,Expedited
403-6190683-2687538,Amazon,Expedited
408-4069830-3819562,Amazon,Expedited
408-4069830-3819562,Amazon,Expedited
408-4069830-3819562,Amazon,Expedited
171-7367545-7081126,Amazon,Expedited
404-6522553-9345930,Merchant,Standard
403-9950518-0349133,Amazon,Expedited
407-6599093-6553153,Merchant,Standard
403-3763475-2237125,Amazon,Expedited
405-1492294-0323520,Amazon,Expedited
403-1162895-2484367,Merchant,Standard
171-6833843-5473114,Amazon,Expedited
403-1477057-8253913,Amazon,Expedited
408-2114413-6089906,Amazon,Expedited
405-1879750-2639521,Merchant,Standard
406-5727754-5302723,Amazon,Expedited
405-0901744-8270705,Amazon,Expedited
405-9112089-3379536,Amazon,Expedited
408-6357132-2310703,Amazon,Expedited
406-5334922-9670748,Amazon,Expedited
402-8519791-3706738,Amazon,Expedited
408-1830318-0357940,Amazon,Expedited
406-5103760-7326749,Amazon,Expedited
402-7841951-1872363,Amazon,Expedited
408-7698765-2294756,Merchant,Standard
404-1856281-9996319,Merchant,Standard
406-5406738-7113145,Amazon,Expedited
405-5257740-5301158,Merchant,Standard
405-5257740-5301158,Merchant,Standard
405-2072502-4089911,Amazon,Expedited
405-0882561-5952340,Amazon,Expedited
403-7266170-1163500,Merchant,Standard
405-8114272-1687512,Amazon,Expedited
171-6138639-1478731,Amazon,Expedited
405-4059216-4541150,Amazon,Expedited
405-1152015-7333945,Amazon,Expedited
406-0177436-6731556,Amazon,Expedited
406-0715107-8168308,Amazon,Expedited
403-0104882-7373900,Amazon,Expedited
403-0104882-7373900,Amazon,Expedited
403-0104882-7373900,Amazon,Expedited
405-3002282-6797102,Amazon,Expedited
407-8466904-3461908,Amazon,Expedited
171-3305587-5364338,Amazon,Expedited
406-8961316-8137943,Merchant,Standard
406-8961316-8137943,Merchant,Standard
171-2813040-8296320,Amazon,Expedited
408-9845791-1393151,Amazon,Expedited
402-4277204-2348328,Amazon,Expedited
171-3049339-2085136,Amazon,Expedited
405-9928526-2470747,Amazon,Expedited
405-4908072-0260360,Merchant,Standard
406-3984186-5973150,Amazon,Expedited
171-8635309-7508346,Amazon,Expedited
171-0293372-4913973,Amazon,Expedited
402-8288606-4313118,Amazon,Expedited
402-8746990-6412346,Amazon,Expedited
402-0294212-5431551,Amazon,Expedited
406-1530134-2105912,Amazon,Expedited
403-5222550-4437140,Amazon,Expedited
408-1482435-5202714,Merchant,Standard
403-6442534-2769112,Amazon,Expedited
408-3113070-0750756,Amazon,Expedited
404-7796841-1880317,Amazon,Expedited
405-2142542-0941949,Amazon,Expedited
405-0286717-7761132,Amazon,Standard
406-9021273-9221106,Amazon,Expedited
404-5381335-4577925,Amazon,Expedited
171-0131752-2560336,Merchant,Standard
407-4235449-1353916,Merchant,Standard
171-8061614-5688327,Amazon,Expedited
407-8248783-4261958,Amazon,Expedited
404-6513062-3876305,Merchant,Standard
406-7779874-9136347,Amazon,Expedited
406-9638549-1733961,Amazon,Expedited
407-8801185-0134713,Amazon,Expedited
171-3625443-6505905,Amazon,Expedited
402-8078642-8565124,Amazon,Expedited
402-2820441-9623566,Amazon,Expedited
