orderid,sku
405-8078784-5731545,SET389-KR-NP-S
171-9198151-1101146,JNE3781-KR-XXXL
404-0687676-7273146,JNE3371-KR-XL
403-9615377-8133951,J0341-DR-L
407-1069790-7240320,JNE3671-TU-XXXL
404-1490984-4578765,SET264-KR-NP-XL
408-5748499-6859555,J0095-SET-L
406-7807733-3785945,JNE3405-KR-S
407-5443024-5233168,SET200-KR-NP-A-XXXL
402-4393761-0311520,JNE3461-KR-XXL
407-5633625-6970741,JNE3160-KR-G-S
171-4638481-6326716,JNE3500-KR-XS
405-5513694-8146768,JNE3405-KR-XS
408-7955685-3083534,SET182-KR-DH-XS
408-1298370-1920302,J0351-SET-L
403-4965581-9520319,PJNE3368-KR-6XL
406-9379318-6555504,JNE3721-KR-XXL
405-9013803-8009918,JNE3405-KR-XL
402-4030358-5835511,JNE3697-KR-XXL
405-5957858-1051546,SET254-KR-NP-XS
405-0607769-0716360,JNE3795-KR-XXXL
404-8494550-5860325,SET345-KR-NP-M
171-1305077-2813934,JNE3373-KR-L
404-6019946-2909948,SET291-KR-PP-M
402-3384087-4005164,MEN5002-KR-L
405-8191138-5176316,NW030-TP-PJ-XS
403-9230474-9657916,JNE3415-KR-XXXL
408-3484251-6901959,PJNE2199-KR-N-4XL
405-7755803-4729935,JNE3567-KR-M
404-5933402-8801952,JNE2132-KR-398-XXXL
171-9040274-9291563,J0341-DR-S
403-7056319-0979561,MEN5009-KR-XL
404-9632124-1107550,J0011-LCD-M
402-1465437-0579556,JNE3766-KR-M
404-7774085-3780319,JNE3373-KR-XL
402-2764952-1492318,MEN5001-KR-XL
406-0272200-7784379,SET345-KR-NP-L
403-4367956-2849158,JNE3787-KR-S
403-4367956-2849158,JNE3543-KR-S
403-4242957-8599555,JNE3405-KR-L
408-7165704-5643524,J0211-DR-XXL
402-8210765-3935569,J0401-DR-XXXL
406-7398201-3869914,JNE2153-KR-278-A-M
408-3478480-0881162,SET360-KR-NP-M
402-7595162-9129931,SET268-KR-NP-L
