orderid,shipcity,shipstate,shippostalcode,shipcountry,courier_status
405-8078784-5731545,MUMBAI,MAHARASHTRA,400081.0,IN,Unknown
171-9198151-1101146,BENGALURU,KARNATAKA,560085.0,IN,Shipped
404-0687676-7273146,NAVI MUMBAI,MAHARASHTRA,410210.0,IN,Shipped
403-9615377-8133951,PUDUCHERRY,PUDUCHERRY,605008.0,IN,Unknown
407-1069790-7240320,CHENNAI,TAMIL NADU,600073.0,IN,Shipped
404-1490984-4578765,GHAZIABAD,UTTAR PRADESH,201102.0,IN,Shipped
408-5748499-6859555,CHANDIGARH,CHANDIGARH,160036.0,IN,Shipped
406-7807733-3785945,HYDERABAD,TELANGANA,500032.0,IN,Shipped
407-5443024-5233168,HYDERABAD,TELANGANA,500008.0,IN,Cancelled
402-4393761-0311520,Chennai,TAMIL NADU,600041.0,IN,Shipped
407-5633625-6970741,CHENNAI,TAMIL NADU,600073.0,IN,Shipped
171-4638481-6326716,NOIDA,UTTAR PRADESH,201303.0,IN,Shipped
405-5513694-8146768,Amravati.,MAHARASHTRA,444606.0,IN,Shipped
408-7955685-3083534,MUMBAI,MAHARASHTRA,400053.0,IN,Shipped
408-1298370-1920302,MUMBAI,MAHARASHTRA,400053.0,IN,Shipped
403-4965581-9520319,GUNTAKAL,ANDHRA PRADESH,515801.0,IN,Shipped
406-9379318-6555504,JAIPUR,RAJASTHAN,302020.0,IN,Shipped
405-9013803-8009918,NEW DELHI,DELHI,110074.0,IN,Shipped
402-4030358-5835511,Gurgaon,HARYANA,122004.0,IN,Shipped
405-5957858-1051546,BENGALURU,KARNATAKA,560017.0,IN,Shipped
405-0607769-0716360,TIRUCHIRAPPALLI,TAMIL NADU,620018.0,IN,Shipped
404-8494550-5860325,BENGALURU,KARNATAKA,560040.0,IN,Shipped
171-1305077-2813934,HYDERABAD,TELANGANA,500072.0,IN,Shipped
404-6019946-2909948,pune,MAHARASHTRA,411044.0,IN,Unknown
402-3384087-4005164,TEZPUR,ASSAM,784001.0,IN,Shipped
405-8191138-5176316,RANCHI,JHARKHAND,834002.0,IN,Shipped
403-9230474-9657916,BILASPUR,CHHATTISGARH,495001.0,IN,Shipped
408-3484251-6901959,PUNE,MAHARASHTRA,411052.0,IN,Shipped
405-7755803-4729935,BENGALURU,KARNATAKA,560037.0,IN,Shipped
404-5933402-8801952,GUWAHATI,ASSAM,781003.0,IN,Unknown
171-9040274-9291563,THIRUVARUR,TAMIL NADU,613704.0,IN,Shipped
403-7056319-0979561,LUCKNOW,UTTAR PRADESH,226010.0,IN,Shipped
